房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
金馬大廈 16樓 B室,,註冊處成交,-,$260,296 呎,"$8,784",
曉峰園 5座 19樓 C室,,註冊處成交,2房,$590,546 呎,"$10,806",
海怡半島 3期 21座 26樓 C室,,註冊處成交,2房,$770,581 呎,"$13,253",
漁暉苑 A座 高層 6室,,成交,-,"$12,500",384 呎,$33,
康怡花園 B座 低層 15室,,成交,3房,"$26,000",668 呎,$39,
屏欣苑 C座 30樓 19室,,註冊處成交,1房,$400,384 呎,"$10,417",
愉景新城 1期 02座 低層 A室,,成交,3房,"$21,000",682 呎,$31,
昇薈 1座 19樓 A室,,註冊處成交,4房,"$1,580","1,377 呎","$11,474",露台 |  | 工作平台
滙都 滙都II 5座 6樓 B01室,,"註冊處成交
一手",2房,$440,443 呎,"$9,928",露台 |  | 工作平台
滙都 滙都II 5座 11樓 A06室,,"註冊處成交
一手",2房,$490,447 呎,"$10,954",露台 |  | 工作平台
柏蔚森 柏蔚森 II 3座 12樓 C室,,"註冊處成交
一手",2房,$736,392 呎,"$18,768",露台 |  | 工作平台
怡峯 怡峰 27樓 B室,,註冊處成交,2房,"$1,168",590 呎,"$19,797",露台 |  | 工作平台
港島南岸 海盈山4A期 2A座 40樓 G室,,"註冊處成交
一手",2房,"$1,043",509 呎,"$20,498",露台 |  | 工作平台
黃金海灣 珀岸 2座 12樓 B室,,"註冊處成交
一手",1房,$361,307 呎,"$11,769",露台 |  | 工作平台
凱和山 5座 17樓 J室,,"註冊處成交
一手",開放式,$319,291 呎,"$10,945",露台
雲滙 1期 2座 18樓 B2室,,註冊處成交,3房,$830,605 呎,"$13,719",露台 |  | 工作平台
昌明大廈 5樓 59A室,,註冊處成交,-,$400,308 呎,"$12,987",
梅窩中心 2樓 B3室,,註冊處成交,-,$473,485 呎,"$9,753",
利興大樓 2樓 J室,,註冊處成交,-,$376,645 呎,"$5,829",
海茵莊園 1座 中層 A5室,,成交,開放式,"$13,000",215 呎,$60,露台
翠華花園 C座 13樓 5室,,註冊處成交,-,$270,215 呎,"$12,558",
茵翠豪庭 10號屋,,註冊處成交,3房,"$1,170","1,483 呎","$7,889",花園 |  | 天台 |  | 平台
海怡半島 4期(御庭園) 33座 15樓 D室,,註冊處成交,2房,$615,521 呎,"$11,804",
盈翠半島 2期 9座 37樓 G室,,註冊處成交,2房,$760,520 呎,"$14,615",
典雅大廈 11樓 B室,,註冊處成交,-,$349,311 呎,"$11,215",
綠悠軒 5座 28樓 G室,,註冊處成交,3房,$538,629 呎,"$8,553",
寶文大廈 12樓 D室,,註冊處成交,2房,$438,489 呎,"$8,957",
恆安邨 恆峰樓 (3座) 26樓 5室,,註冊處成交,-,$288,489 呎,"$5,890",
聯合大樓 5樓 D14室,,註冊處成交,-,$218,346 呎,"$6,301",
盈翠半島 2期 9座 37樓 G室,,註冊處成交,2房,$760,520 呎,"$14,615",
典雅大廈 11樓 B室,,註冊處成交,-,$349,311 呎,"$11,215",
嘉亨灣 6座 70樓 H室,,註冊處成交,2房,$870,497 呎,"$17,505",露台 |  | 工作平台
順緻苑 A座 (順豐閣) 11樓 14室,,註冊處成交,3房,$410,560 呎,"$7,321",露台
荃錦中心 1座 7樓 G室,,註冊處成交,2房,$380,375 呎,"$10,133",
雍雅軒 1座 12樓 H室,,註冊處成交,2房,$448,479 呎,"$9,353",
將軍澳廣場 1期 2座 高層 D室,,成交,2房,"$19,200",429 呎,$45,
美樂花園 08座 低層 D室,,成交,2房,"$14,000",589 呎,$24,
朗城滙 2座 高層 G室,,成交,1房,"$14,000",323 呎,$43,露台 |  | 工作平台
滙都 滙都II 5座 6樓 A07室,,"註冊處成交
一手",2房,$470,442 呎,"$10,637",露台 |  | 工作平台
滙都 滙都II 6座 3樓 A08室,,"註冊處成交
一手",2房,$464,449 呎,"$10,327",露台 |  | 工作平台
滙都 滙都II 5座 3樓 A06室,,"註冊處成交
一手",2房,$448,447 呎,"$10,030",露台 |  | 工作平台
日出康城 Park Seasons 2B座 38樓 F室,,"註冊處成交
一手",1房,$478,323 呎,"$14,808",露台 |  | 工作平台
Double Coast Double Coast I 3座 33樓 H室,,"註冊處成交
一手",1房,$590,324 呎,"$18,213",露台 |  | 工作平台
港島南岸 海盈山4A期 2A座 36樓 G室,,"註冊處成交
一手",2房,"$1,053",509 呎,"$20,692",露台 |  | 工作平台
凱和山 3座 18樓 L室,,"註冊處成交
一手",1房,$430,381 呎,"$11,298",露台
海日灣II 10座 18樓 J室,,"註冊處成交
一手",3房,"$1,380",811 呎,"$17,021",露台
廣生行大廈 C座 13樓 M室,,註冊處成交,2房,$583,490 呎,"$11,898",
日出康城 領都 - 領峯 8座 R 高層 D室,,成交,3房,"$18,500",664 呎,$28,露台 |  | 工作平台
安泰大廈 11樓 C室,,註冊處成交,-,$318,273 呎,"$11,648",
蔚景園 2座 26樓 D室,,註冊處成交,2房,$615,459 呎,"$13,399",
樹德樓 2樓 E室,,註冊處成交,-,$349,435 呎,"$8,023",
瑞強閣 7樓 C室,,註冊處成交,2房,$300,288 呎,"$10,417",
大興花園 二期 2座 1樓 D室,,註冊處成交,3房,$418,587 呎,"$7,121",
縉城峰 2座 43樓 D室,,註冊處成交,3房,"$1,920",816 呎,"$23,529",露台 |  | 工作平台
黃埔新邨 佳榮樓(N座) 4樓 1室,,註冊處成交,1房,$400,413 呎,"$9,685",
啟朗苑 C座(啟洋閣) 19樓 7室,,註冊處成交,-,$595,456 呎,"$13,048",
竹園北邨 蕙園樓 16樓 17室,,註冊處成交,開放式,$230,485 呎,"$4,742",露台
東頭邨2期 振東樓 21樓 6室,,註冊處成交,開放式,$175,385 呎,"$4,545",露台
海日灣II 7座 17樓 F室,,註冊處成交,2房,$660,583 呎,"$11,321",
港灣豪庭 一期 1座 13樓 A室,,註冊處成交,2房,$530,321 呎,"$16,511",
One Soho 3樓 B3室,,"註冊處成交
一手",1房,$612,287 呎,"$21,338",露台
汀雅苑 A座 4樓 7室,,註冊處成交,2房,$518,563 呎,"$9,201",露台
青盛苑 A座 28樓 5室,,註冊處成交,開放式,$385,490 呎,"$7,857",露台
富豪花園 L座 (林景閣) 3樓 C室,,註冊處成交,3房,$750,"1,093 呎","$6,862",露台
青華苑 華奐閣(A座) 27樓 11室,,註冊處成交,2房,$258,415 呎,"$6,217",露台
新葵興花園 A座 15樓 5室,,註冊處成交,2房,$520,480 呎,"$10,833",
豪輝花園 第一座 24樓 C室,,註冊處成交,3房,$530,475 呎,"$11,158",
玖瓏山 日瓏閣 2座 20&R樓 A室,,註冊處成交,5房,"$3,800","2,147 呎","$17,699",天台 |  | 平台 |  | 工作平台
睿峰 東翼 低層 F室,,成交,2房,"$24,288",517 呎,$47,露台 |  | 工作平台
瓏碧 低層 F室,,成交,1房,"$17,500",284 呎,$62,露台 |  | 工作平台
廣生行大廈 C座 13樓 M室,,註冊處成交,2房,$583,490 呎,"$11,898",
日出康城 領都 - 領峯 8座 R 高層 D室,,成交,3房,"$18,500",664 呎,$28,露台 |  | 工作平台
樂悠居 高層 18室,,成交,1房,"$16,500",312 呎,$53,
旭輝臺 低層 A室,,成交,2房,"$15,800",481 呎,$33,
愉景灣 明翠台 H2座 (觀海樓) 8樓 E室,,註冊處成交,1房,$330,440 呎,"$7,500",
君臨天下 3座 65樓 C室,,註冊處成交,3房,"$4,450","1,108 呎","$40,162",露台
皇都 29樓 B1室,,"註冊處成交
一手",3房,"$2,627",834 呎,"$31,500",車位 |  | 露台 |  | 工作平台
黃金海灣 珀岸 2座 12樓 A室,,"註冊處成交
一手",3房,$696,651 呎,"$10,691",露台 |  | 工作平台
御海灣 1期 2座 11樓 E室,,"註冊處成交
一手",3房,"$1,000",513 呎,"$19,493",露台 |  | 工作平台
瓏珀山 2期 King Tower 1 18樓 B室,,"註冊處成交
一手",3房,"$1,645",943 呎,"$17,444",車位 |  | 露台 |  | 工作平台
林海山城 6座 3樓 A室,,"註冊處成交
一手",3房,"$1,437","1,075 呎","$13,371",露台 |  | 工作平台
泰峯 1B座 11樓 G室,,"註冊處成交
一手",2房,$740,494 呎,"$14,988",露台 |  | 工作平台
傲玟 3座 28&29樓 A室,,"註冊處成交
一手",5房,$1.1,"3,255 呎","$33,915",複式 |  | 天台 |  | 平台 |  | 露台 |  | 工作平台
連方II 23樓 S8室,,"註冊處成交
一手",2房,"$1,021",390 呎,"$26,182",露台 |  | 工作平台
景林邨 6座 (景桃樓) 20樓 6室,,註冊處成交,開放式,$168,150 呎,"$11,200",
南山路11號 1樓 B室,,註冊處成交,-,$300,581 呎,"$5,164",
荷李活華庭 A座 35樓 H室,,註冊處成交,3房,"$1,490",780 呎,"$19,103",天台
豪景臺 24樓 A室,,註冊處成交,2房,$590,392 呎,"$15,051",
學士臺 1座 27樓 E室,,註冊處成交,-,"$1,560","1,013 呎","$15,400",複式 |  | 天台
華都花園 4座 10樓 G室,,註冊處成交,2房,$372,404 呎,"$9,208",
香港黃金海岸 1B期 5座 25樓 C室,,註冊處成交,2房,$400,476 呎,"$8,403",
康怡花園 B座 31樓 3室,,註冊處成交,-,$900,947 呎,"$9,504",複式 |  | 平台 |  | 露台
恆安邨 恆月樓 (9座) 22樓 3室,,註冊處成交,-,$194,443 呎,"$4,375",
太安樓 8樓 57室,,註冊處成交,-,$235,352 呎,"$6,676",
百福花園 B座 (鴻福閣) 18樓 E室,,註冊處成交,3房,$538,597 呎,"$9,012",露台
海怡半島 2期 13A座 1樓 B室,,註冊處成交,3房,$660,614 呎,"$10,749",平台
柏豐28 16樓 D室,,註冊處成交,2房,$570,453 呎,"$12,583",露台 |  | 工作平台
比華利山 C座 中層 C1室,,成交,4房,"$62,000","1,426 呎",$43,車位
君滙港 3座 高層 B室,,成交,2房,"$22,000",474 呎,$46,
君滙港 3座 高層 B室,,成交,2房,"$22,000",474 呎,$46,
比華利山 C座 中層 C1室,,成交,4房,"$62,000","1,426 呎",$43,車位
海桃灣 3座 中層 C室,,成交,2房,"$23,000",453 呎,$51,露台
泓景臺 三期 6座 23樓 G室,,註冊處成交,2房,$690,473 呎,"$14,588",
河畔花園 C座 11樓 5室,,註冊處成交,2房,$336,269 呎,"$12,491",
天晉 1期 6座(日鑽海) 6樓 D室,,註冊處成交,2房,$868,536 呎,"$16,194",露台 |  | 工作平台
海翠花園 2座 中層 A室,,成交,2房,"$14,000",609 呎,$23,
迎海 四期(迎海．駿岸) 8座 低層 A室,,成交,4房,"$48,000","1,454 呎",$33,露台 |  | 工作平台
粉嶺中心 1期 B座 高層 5室,,成交,2房,"$12,000",368 呎,$33,
滙都 滙都II 5座 2樓 A05室,,"註冊處成交
一手",2房,$437,444 呎,"$9,834",露台 |  | 工作平台
滙都 滙都II 5座 11樓 B02室,,"註冊處成交
一手",1房,$361,338 呎,"$10,682",露台 |  | 工作平台
Belgravia Place Belgravia Place 第1期 1A座 11樓 12室,,"註冊處成交
一手",1房,$437,264 呎,"$16,550",露台 |  | 工作平台
黃金海灣 珀岸 1A座 20樓 J室,,"註冊處成交
一手",1房,$356,313 呎,"$11,367",露台 |  | 工作平台
黃金海灣 珀岸 1B座 16樓 E室,,"註冊處成交
一手",2房,$586,460 呎,"$12,739",露台 |  | 工作平台
啟德海灣 啟德海灣 1 2A座 3樓 D室,,"註冊處成交
一手",2房,$939,534 呎,"$17,590",露台 |  | 工作平台
日出康城 Grand Seasons 1A座 28樓 B室,,"註冊處成交
一手",2房,$735,495 呎,"$14,851",露台 |  | 工作平台
日出康城 Grand Seasons 1B座 29樓 E室,,"註冊處成交
一手",1房,$471,322 呎,"$14,612",露台 |  | 工作平台
港島南岸 海盈山4A期 2B座 23樓 D室,,"註冊處成交
一手",2房,"$1,144",535 呎,"$21,376",露台 |  | 工作平台
Double Coast Double Coast I 3座 23樓 H室,,"註冊處成交
一手",1房,$576,324 呎,"$17,765",露台 |  | 工作平台
衙前圍道78-80號 1樓 B室,,註冊處成交,-,$768,876 呎,"$8,767",
南角道62號 3樓,,註冊處成交,-,$821,999 呎,"$8,218",
新城市廣場 3期 銀樺閣 (4座) 10樓 H室,,註冊處成交,3房,$858,640 呎,"$13,406",
恆安邨 恆海樓 (4座) 24樓 23室,,註冊處成交,-,$218,443 呎,"$4,921",
南豐新邨 10座 4樓 C室,,註冊處成交,2房,$500,391 呎,"$12,788",
南角道62號 3樓,,註冊處成交,-,$821,999 呎,"$8,218",
衙前圍道78-80號 1樓 B室,,註冊處成交,-,$768,876 呎,"$8,767",
新城市廣場 3期 銀樺閣 (4座) 10樓 H室,,註冊處成交,3房,$858,640 呎,"$13,406",
恆安邨 恆海樓 (4座) 24樓 23室,,註冊處成交,-,$218,443 呎,"$4,921",
南豐新邨 10座 4樓 C室,,註冊處成交,2房,$500,391 呎,"$12,788",
華輝大廈 15樓 D室,,註冊處成交,3房,$488,429 呎,"$11,375",
嘉湖山莊 景湖居 11座 12樓 A室,,註冊處成交,3房,$498,638 呎,"$7,806",
錦豐苑 J座 (錦蘭閣) 25樓 5室,,註冊處成交,開放式,$386,428 呎,"$9,019",
太湖花園 一期 3座 20樓 A室,,註冊處成交,2房,$465,440 呎,"$10,568",
灣景樓 B座 7樓 B5室,,註冊處成交,-,$618,687 呎,"$8,996",
瓏門 一期 3座 41樓 F室,,註冊處成交,3房,$950,649 呎,"$14,638",露台 |  | 工作平台
萬豐大廈 3樓 H室,,註冊處成交,2房,$250,254 呎,"$9,843",
裕泰苑 B座 24樓 7室,,註冊處成交,-,$159,287 呎,"$5,540",
東港城 3座 39樓 E室,,註冊處成交,2房,$707,524 呎,"$13,492",
月明樓 13樓 H室,,註冊處成交,-,$552,631 呎,"$8,748",
維港灣 8座 8樓 H室,,註冊處成交,2房,$684,459 呎,"$14,902",
御龍山 11座 51樓 E室,,註冊處成交,2房,$833,543 呎,"$15,341",露台 |  | 工作平台
旭埔苑 晉湖閣 (E座) 19樓 1室,,註冊處成交,2房,$410,546 呎,"$7,509",露台
富輝花園 1座 15樓 A室,,註冊處成交,2房,$320,431 呎,"$7,425",
偉恆昌新邨 昌景閣 D座 4樓 3室,,註冊處成交,2房,$410,409 呎,"$10,024",
康栢苑 B座 (龍柏閣) 25樓 1室,,註冊處成交,3房,$550,554 呎,"$9,928",露台
怡雅苑 B座 4樓 10室,,註冊處成交,2房,$380,401 呎,"$9,476",露台
Grand Yoho 1期 2座 中層 E室,,成交,2房,"$17,500",520 呎,$34,露台 |  | 工作平台
時代廣場 E座 11樓 7室,,註冊處成交,1房,$272,272 呎,"$10,000",
黃金海灣 珀岸 1B座 20樓 F室,,"註冊處成交
一手",2房,$474,441 呎,"$10,757",露台 |  | 工作平台
黃金海灣 珀岸 2座 6樓 B室,,"註冊處成交
一手",1房,$336,307 呎,"$10,928",露台 |  | 工作平台
柏蔚森 Azure Forest 1座 18樓 J室,,"註冊處成交
一手",1房,$476,261 呎,"$18,253",露台 |  | 工作平台
滙都 滙都II 5座 3樓 B09室,,"註冊處成交
一手",2房,$425,430 呎,"$9,882",露台 |  | 工作平台
滙都 滙都II 5座 3樓 A09室,,"註冊處成交
一手",2房,$430,417 呎,"$10,301",露台 |  | 工作平台
名鑽 9樓 C室,,"註冊處成交
一手",3房,"$1,787",819 呎,"$21,823",露台 |  | 工作平台
安秀苑 B座 18樓 13室,,"註冊處成交
一手",-,$310,456 呎,"$6,789",
合眾樓 1樓 35室,,註冊處成交,-,$601,487 呎,"$12,341",平台
安秀苑 A座 10樓 15室,,"註冊處成交
一手",-,$256,388 呎,"$6,595",
維峯．浚匯 17樓 H室,,"註冊處成交
一手",開放式,$471,200 呎,"$23,552",露台
淘大花園 1期 G座 15樓 5室,,註冊處成交,2房,$443,390 呎,"$11,359",
邁爾豪園 A型 51號屋,,註冊處成交,-,"$1,428","1,795 呎","$7,955",
聚賢居 1座 10樓 C室,,註冊處成交,3房,"$1,416",809 呎,"$17,503",露台 |  | 工作平台
林景閣 2座 12樓 G室,,註冊處成交,-,$418,534 呎,"$7,828",
寶城洋樓 19樓 3室,,註冊處成交,-,$300,473 呎,"$6,342",
溫莎大廈 12樓 G室,,註冊處成交,-,$398,534 呎,"$7,453",
濠勝閣 13樓 F室,,註冊處成交,2房,$263,280 呎,"$9,393",
海柏匯 10樓 C室,,註冊處成交,1房,$440,277 呎,"$15,884",露台 |  | 工作平台
富雅花園 I座 ( 金松閣 ) 11樓 D室,,註冊處成交,2房,$500,446 呎,"$11,211",
海之戀 1期 7座 45樓 C室,,註冊處成交,1房,$730,391 呎,"$18,670",露台
富麗園 8樓 C1室,,註冊處成交,3房,"$1,110",837 呎,"$13,262",車位 |  | 露台
凱樂苑 D座(凱旭閣) 1樓 3室,,註冊處成交,開放式,$275,390 呎,"$7,051",
安順大廈 1樓 B室,,註冊處成交,-,$225,315 呎,"$7,143",平台
安豐大廈 9樓 A室,,註冊處成交,3房,$400,447 呎,"$8,949",
富雅花園 I座 ( 金松閣 ) 11樓 D室,,註冊處成交,2房,$500,446 呎,"$11,211",
邁爾豪園 A型 51號屋,,註冊處成交,-,"$1,428","1,795 呎","$7,955",
富麗園 8樓 C1室,,註冊處成交,3房,"$1,110",837 呎,"$13,262",車位 |  | 露台
凱樂苑 D座(凱旭閣) 1樓 3室,,註冊處成交,開放式,$275,390 呎,"$7,051",
安順大廈 1樓 B室,,註冊處成交,-,$225,315 呎,"$7,143",平台
安豐大廈 9樓 A室,,註冊處成交,3房,$400,447 呎,"$8,949",
荃灣中心 漢陽樓(12座) 33樓 H室,,註冊處成交,1房,$310,324 呎,"$9,568",天台
惠安苑 E座 10樓 4室,,註冊處成交,-,$838,894 呎,"$9,374",
Midtown South The Haddon 26樓 C室,,"註冊處成交
一手",1房,$557,284 呎,"$19,623",露台 |  | 工作平台
Midtown South The Haddon 17樓 P室,,"註冊處成交
一手",1房,$577,314 呎,"$18,365",露台 |  | 工作平台
凱和山 3座 19樓 A室,,"註冊處成交
一手",3房,$738,691 呎,"$10,679",露台 |  | 工作平台
黃金海灣 珀岸 1A座 8樓 J室,,"註冊處成交
一手",1房,$309,313 呎,"$9,863",露台 |  | 工作平台
黃金海灣 珀岸 1A座 25樓 J室,,"註冊處成交
一手",1房,$377,313 呎,"$12,051",露台 |  | 工作平台
皇都 35樓 B2室,,"註冊處成交
一手",4房,"$4,610","1,246 呎","$37,000",車位 |  | 露台 |  | 工作平台
利奧坊．首隅 12樓 B室,,"註冊處成交
一手",1房,$504,259 呎,"$19,462",露台 |  | 工作平台
啟德海灣 啟德海灣 1 2A座 19樓 G室,,"註冊處成交
一手",1房,$530,306 呎,"$17,324",露台 |  | 工作平台
Wetland Seasons Park 2期 12座 3樓 A1室,,註冊處成交,3房,$660,667 呎,"$9,895",露台 |  | 工作平台
好景洋樓 3樓 F室,,註冊處成交,-,$293,429 呎,"$6,830",
黃埔新邨 嘉富樓(Z座) 5樓 6室,,註冊處成交,-,$380,321 呎,"$11,838",
友誠大廈 10樓 H室,,註冊處成交,-,$305,381 呎,"$8,005",
荃豐大廈 2樓 A室,,註冊處成交,-,$290,363 呎,"$7,989",
合眾樓 6樓 41室,,註冊處成交,-,$570,490 呎,"$11,633",
漆咸道北226-232號 8樓 230室,,註冊處成交,-,$270,541 呎,"$4,991",
薈蕎 1翼 低層 D06室,,成交,開放式,"$13,000",254 呎,$51,露台
守運樓 8樓 B室,,註冊處成交,-,$392,481 呎,"$8,150",
筲箕灣廣場 3座 ( 麗雅苑 ) 24樓 H室,,註冊處成交,2房,$370,337 呎,"$10,979",
新威園 D座 18樓 2室,,註冊處成交,-,$550,578 呎,"$9,516",
華明邨 耀明樓 (6座) 24樓 3室,,註冊處成交,開放式,$218,443 呎,"$4,921",露台
日出康城 LP6 1座 53樓 J室,,註冊處成交,2房,$630,484 呎,"$13,017",露台 |  | 工作平台
嘉湖山莊 翠湖居 5座 6樓 H室,,註冊處成交,3房,$410,552 呎,"$7,428",
喜遇 22樓 A室,,註冊處成交,1房,$418,309 呎,"$13,528",露台 |  | 工作平台
浩景臺 2座 10樓 C室,,註冊處成交,3房,$530,631 呎,"$8,399",
新都城 二期 5座 18樓 G室,,註冊處成交,3房,$790,713 呎,"$11,080",
嘉和苑 7樓 D室,,註冊處成交,3房,"$2,000","1,267 呎","$15,785",車位
丹桂軒 1座 G樓 B室,,註冊處成交,2房,$430,437 呎,"$9,840",車位 |  | 花園
名城 1期 2座 51樓 NC室,,註冊處成交,3房,"$1,300",843 呎,"$15,421",露台 |  | 工作平台
愉景灣 明翠台 明蔚徑 7 號 3樓 H室,,註冊處成交,3房,"$1,035","1,183 呎","$8,749",露台
康林苑 C座(景林閣) 10樓 6室,,註冊處成交,3房,$325,554 呎,"$5,866",露台
沙田第一城 2期 16座 高層 E室,,成交,3房,"$18,000",451 呎,$40,
盈翠半島 2期 08座 高層 H室,,成交,2房,"$19,500",518 呎,$38,
一號銀海 6座 高層 C室,,成交,3房,"$31,000",665 呎,$47,
龍蟠苑 C座 低層 5室,,成交,1房,"$14,000",383 呎,$37,
Grand Yoho 2期 8座 高層 G室,,成交,2房,"$18,500",543 呎,$34,露台
高宏苑 A座 27樓 18室,,"註冊處成交
一手",-,$178,333 呎,"$5,348",露台
朗濤 6A座 1樓 C室,,註冊處成交,2房,$750,566 呎,"$13,251",露台
#LYOS 複式B座 G&1樓 8室,,"註冊處成交
一手",3房,"$1,164",789 呎,"$14,749",複式 |  | 花園 |  | 天台 |  | 平台
黃金海灣 珀岸 1B座 11樓 H室,,"註冊處成交
一手",2房,$456,441 呎,"$10,347",露台 |  | 工作平台
黃金海灣 珀岸 1A座 15樓 J室,,"註冊處成交
一手",1房,$331,313 呎,"$10,562",露台 |  | 工作平台
黃金海灣 珀岸 1A座 15樓 J室,,"註冊處成交
一手",1房,$331,313 呎,"$10,562",露台 |  | 工作平台
皇都 29樓 A1室,,"註冊處成交
一手",3房,"$3,453","1,079 呎","$32,000",車位 |  | 露台 |  | 工作平台
大興花園 二期 01座 中層 G室,,成交,2房,"$12,300",447 呎,$28,
東海大樓 5樓 D室,,註冊處成交,-,$300,391 呎,"$7,668",
金巴利道86-96號 2樓 A室,,註冊處成交,-,$405,590 呎,"$6,864",
梅窩大廈 4樓 5室,,註冊處成交,-,$185,253 呎,"$7,312",
瑞香園大廈 6樓 B室,,註冊處成交,-,$410,462 呎,"$8,874",
龍飛大樓 11樓 B室,,註冊處成交,-,$310,467 呎,"$6,638",
德豐樓 4樓 61RP室,,註冊處成交,-,$280,282 呎,"$9,929",
嘉兆臺 3座 高層 C室,,成交,3房,"$43,000",967 呎,$44,
泰發大廈 5樓 B室,,註冊處成交,-,$370,439 呎,"$8,428",
爾巒 菲利提諾大道 2座 3&5樓 A室,,註冊處成交,3房,"$1,673","1,484 呎","$11,270",複式 |  | 天台 |  | 平台
瓊峰園 A座 14樓 A1室,,註冊處成交,3房,"$2,268","1,313 呎","$17,273",露台
蕪湖居 25樓 E室,,註冊處成交,-,$282,227 呎,"$12,423",露台 |  | 工作平台
惠德大廈 5樓 B室,,註冊處成交,-,$298,311 呎,"$9,582",
御龍山 1座 6樓 C室,,註冊處成交,2房,$830,555 呎,"$14,955",露台 |  | 工作平台
峻瀅 1期 1座 39樓 E室,,註冊處成交,3房,$650,736 呎,"$8,832",露台 |  | 工作平台
益昌大廈 1樓 3室,,註冊處成交,-,$270,372 呎,"$7,258",
龍豐花園 C座 8樓 2室,,註冊處成交,3房,$506,499 呎,"$10,140",
尚匯 17樓 B室,,註冊處成交,1房,$840,342 呎,"$24,561",露台
翠景閣 11樓 A室,,註冊處成交,-,$850,647 呎,"$13,138",
新都城 一期 4座 35樓 E室,,註冊處成交,3房,$684,698 呎,"$9,794",
鯉景灣 A段 觀峰閣 11樓 D室,,註冊處成交,2房,$710,536 呎,"$13,246",
興祥大廈 8樓 M室,,註冊處成交,2房,$238,287 呎,"$8,293",
康逸苑 A座 33樓 1室,,註冊處成交,3房,$610,650 呎,"$9,385",
永勝樓 3樓 A室,,註冊處成交,-,$395,447 呎,"$8,837",
碧海藍天 5座 23樓 E室,,註冊處成交,2房,$700,505 呎,"$13,861",
帝庭園 7座 12樓 B室,,註冊處成交,3房,"$1,650","1,266 呎","$13,033",車位 |  | 露台
龍蟠苑 C座 32樓 4室,,註冊處成交,1房,$360,340 呎,"$10,588",露台
海之戀 2期(愛炫美) 3B座 低層 A室,,成交,2房,"$23,000",530 呎,$43,露台
大興花園 二期 01座 中層 G室,,成交,2房,"$12,300",447 呎,$28,
慧景軒 2座 低層 C室,,成交,3房,"$15,000",693 呎,$22,
The Austin 1座 - T1A 中層 C室,,成交,1房,"$25,000",463 呎,$54,露台 |  | 工作平台
康景花園 E座 低層 5室,,成交,3房,"$16,300",561 呎,$29,
The Henley The Henley III 3B座 低層 E室,,成交,開放式,"$15,800",238 呎,$66,露台
高宏苑 B座 3樓 3室,,"註冊處成交
一手",-,$149,291 呎,"$5,105",
高宏苑 B座 36樓 20室,,"註冊處成交
一手",-,$209,381 呎,"$5,487",
高宏苑 A座 41樓 23室,,"註冊處成交
一手",-,$160,288 呎,"$5,539",
黃金海灣 珀岸 1A座 17樓 H室,,"註冊處成交
一手",1房,$331,312 呎,"$10,622",露台 |  | 工作平台
曉柏峰 A座 10樓 A4室,,"註冊處成交
一手",開放式,$313,185 呎,"$16,905",露台 |  | 工作平台
港島南岸 Blue Coast II 5座 25樓 G室,,"註冊處成交
一手",2房,"$1,015",485 呎,"$20,924",
The Yoho Hub The Yoho Hub II 6座 15樓 H室,,"註冊處成交
一手",3房,"$1,245",905 呎,"$13,751",露台 |  | 工作平台
翔龍灣 6 座 21樓 B室,,註冊處成交,2房,$525,385 呎,"$13,636",露台 |  | 工作平台
悅湖山莊 5座 13樓 A室,,註冊處成交,3房,$320,588 呎,"$5,442",
海濱花園 3座 (海珊閣) 25樓 B室,,註冊處成交,3房,$580,577 呎,"$10,052",
淘大花園 1期 D座 22樓 4室,,註冊處成交,2房,$408,375 呎,"$10,880",
華寶大廈 15樓 A2室,,註冊處成交,3房,$390,413 呎,"$9,443",
縉城峰 1座 11樓 B室,,註冊處成交,2房,"$1,106",559 呎,"$19,785",露台 |  | 工作平台
荃德花園 C座 14樓 B室,,註冊處成交,2房,$297,340 呎,"$8,735",
立和樓 5樓 C室,,註冊處成交,-,$277,362 呎,"$7,652",
北角中心大廈 A座 11樓 A1室,,註冊處成交,3房,$738,798 呎,"$9,248",
盈基花園 1座(寶龍閣) 20樓 D室,,註冊處成交,3房,$710,482 呎,"$14,730",
環宇海灣 3座 49樓 B室,,註冊處成交,2房,$718,491 呎,"$14,623",露台 |  | 工作平台
新時代廣場 Yoho Midtown M5座 38樓 F室,,註冊處成交,3房,$825,615 呎,"$13,415",露台 |  | 工作平台
雅利德樺臺 37樓 E室,,註冊處成交,-,"$1,350",913 呎,"$14,786",車位
屯門市廣場 1期 4座 11樓 J室,,註冊處成交,2房,$340,353 呎,"$9,632",
卓爾居 二期 7座 35樓 E室,,註冊處成交,2房,$600,535 呎,"$11,215",
朗屏邨 喜屏樓 (7座) 9樓 14室,,註冊處成交,開放式,$163,381 呎,"$4,278",露台
名城 1期 1座 32樓 NA室,,註冊處成交,3房,$475,677 呎,"$7,016",露台 |  | 工作平台
喜雅 1座 19樓 F室,,註冊處成交,3房,$838,622 呎,"$13,473",露台 |  | 工作平台
祥和苑 D座 20樓 3室,,註冊處成交,3房,$300,548 呎,"$5,474",
慧景軒 3座 3樓 E室,,註冊處成交,3房,$540,671 呎,"$8,048",露台
愉景灣 頤峰 頤峰5座 (峻山閣) 2樓 B室,,註冊處成交,2房,$450,592 呎,"$7,601",露台
嘉亨灣 6座 中層 E室,,成交,2房,"$24,000",527 呎,$46,
睿峰 東翼 低層 F室,,成交,2房,"$22,500",501 呎,$45,平台 |  | 露台
